                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.4859,                 1.9569,                 1.0766,                0.26451,                0.16825,                0.08989,                0.05184,                 1.8431,                 7.7883,                 1.0828,              8.745e-05,              8.745e-05,              8.745e-05
                     34,                 1.4807,                 2.0133,                 1.0807,                0.26451,                0.16825,                0.08989,                0.05184,                 1.8431,                 7.7883,                 1.0828,             8.8876e-05,             8.8876e-05,             8.8876e-05
                     35,                 1.4333,                 1.8415,                 1.0227,                 0.1856,                0.11429,                0.11991,                0.07514,                 1.8546,                 7.5447,                 1.0956,             9.0222e-05,             9.0222e-05,             9.0222e-05
                     36,                 1.5564,                 1.8314,                 1.1022,                 0.1856,                0.11429,                0.11991,                0.07514,                 1.8546,                 7.5447,                 1.0956,              9.149e-05,              9.149e-05,              9.149e-05
                     37,                 1.6892,                 2.2664,                 1.1353,                0.15197,                0.14472,                0.12478,                0.07625,                 1.8747,                 6.0407,                 1.0961,             9.2678e-05,             9.2678e-05,             9.2678e-05
                     38,                 1.3735,                 1.7489,                 1.0109,                0.15197,                0.14472,                0.12478,                0.07625,                 1.8747,                 6.0407,                 1.0961,             9.3788e-05,             9.3788e-05,             9.3788e-05
                     39,                 1.3873,                 1.8807,                 1.0441,                0.20468,                0.14603,                0.12586,                0.07788,                 1.9154,                 4.5927,                 1.0846,             9.4818e-05,             9.4818e-05,             9.4818e-05
                     40,                 1.3607,                 1.5922,                 1.0225,                0.20468,                0.14603,                0.12586,                0.07788,                 1.9154,                 4.5927,                 1.0846,             9.5768e-05,             9.5768e-05,             9.5768e-05
                     41,                 1.6242,                 1.9167,                 1.1801,                0.46051,                0.16825,                0.13666,                0.08148,                 1.8914,                 4.1561,                 1.0612,              9.664e-05,              9.664e-05,              9.664e-05
                     42,                 1.3644,                 1.6113,                 1.0506,                0.46051,                0.16825,                0.13666,                0.08148,                 1.8914,                 4.1561,                 1.0612,             9.7432e-05,             9.7432e-05,             9.7432e-05
                     43,                 1.3098,                  1.364,                 1.0152,                0.60868,                0.16825,                0.13303,                0.08079,                 1.8946,                 3.8801,                 1.0632,             9.8146e-05,             9.8146e-05,             9.8146e-05
                     44,                 1.4271,                 1.7451,                 1.0638,                0.60868,                0.16825,                0.13303,                0.08079,                 1.8946,                 3.8801,                 1.0632,              9.878e-05,              9.878e-05,              9.878e-05
                     45,                 1.4024,                 1.5647,                 1.0225,                  0.911,                 0.0381,                0.08161,                 0.0446,                 1.8577,                 3.6507,                 1.0502,             9.9334e-05,             9.9334e-05,             9.9334e-05
