                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4653,                 3.0758,                 2.1671,                0.09667,                0.90625,                0.18236,                0.07007,                 2.0921,                 2.7563,                 1.9148,                      0,                      0,                      0
                      2,                  2.415,                 3.3728,                 2.1779,                    0.1,                 0.9375,                0.29677,                 0.1136,                 2.0272,                 2.4651,                 1.8227,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 2.3334,                 2.9435,                 2.0024,                0.64667,                0.40625,                0.51177,                0.22536,                 1.8305,                 1.9216,                 1.6865,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 2.0581,                 3.0711,                 1.8214,                 0.6551,                0.71242,                0.68803,                0.31631,                 1.6985,                 1.3495,                 1.5682,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 1.7596,                 2.0281,                  1.592,                0.64237,                   0.75,                0.79131,                 0.3747,                 1.2027,                 1.9242,                  1.295,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 1.2943,                 1.5167,                   1.35,                0.63275,                 0.9375,                0.89907,                0.49354,                0.92775,                 3.3231,                 1.1616,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 1.0837,                 1.0888,                 1.2181,                 0.5567,                      1,                0.90611,                0.58217,                0.80998,                 3.4895,                 1.1166,             0.00011287,             0.00011287,             0.00011287
                      8,                0.95802,                  1.053,                 1.1988,                0.64901,                0.96875,                0.92042,                0.66667,                0.71434,                 2.5567,                 1.0782,              0.0001303,              0.0001303,              0.0001303
                      9,                0.94167,                0.93446,                 1.0952,                0.72342,                0.96875,                0.93929,                0.69815,                0.67342,                 1.8353,                 1.0637,             0.00014733,             0.00014733,             0.00014733
                     10,                0.75523,                0.62461,                  1.067,                0.68049,                 0.9375,                0.89142,                0.65104,                0.68226,                 1.8227,                 1.0631,             0.00016396,             0.00016396,             0.00016396
                     11,                 0.8406,                0.91559,                 1.0899,                0.76463,                0.91381,                0.95424,                0.77528,                0.67872,                 1.4572,                   1.06,              0.0001802,              0.0001802,              0.0001802
                     12,                0.64571,                0.53613,                0.93738,                0.88515,                      1,                  0.995,                0.84544,                0.61699,                 1.4262,                 1.0475,             0.00019604,             0.00019604,             0.00019604
                     13,                0.61808,                0.49396,                0.98259,                0.99302,                      1,                  0.995,                0.85904,                0.55379,                 1.8498,                 1.0326,             0.00021149,             0.00021149,             0.00021149
                     14,                0.57195,                0.49193,                 0.9776,                0.99504,                      1,                  0.995,                0.83577,                 0.5696,                  2.297,                 1.0468,             0.00022654,             0.00022654,             0.00022654
                     15,                0.63788,                0.51242,                0.92777,                0.96787,                      1,                  0.995,                0.79179,                0.64126,                 2.1361,                 1.0739,             0.00024119,             0.00024119,             0.00024119
                     16,                0.63132,                0.55069,                0.89966,                 0.9784,                      1,                  0.995,                0.77145,                0.69294,                 1.9225,                 1.0983,             0.00025545,             0.00025545,             0.00025545
                     17,                0.59371,                0.62331,                0.98351,                0.99633,                      1,                  0.995,                0.74908,                0.85175,                 1.1711,                 1.1966,             0.00026931,             0.00026931,             0.00026931
                     18,                0.58689,                0.57621,                0.92807,                0.99633,                      1,                  0.995,                0.74908,                0.85175,                 1.1711,                 1.1966,             0.00028278,             0.00028278,             0.00028278
                     19,                0.61461,                0.64102,                0.94211,                0.99832,                      1,                  0.995,                0.80323,                0.68406,                 1.1593,                 1.0651,             0.00029585,             0.00029585,             0.00029585
                     20,                 0.6142,                0.59129,                0.93358,                0.99832,                      1,                  0.995,                0.80323,                0.68406,                 1.1593,                 1.0651,             0.00030852,             0.00030852,             0.00030852
